delta_deg,model,chi2,k,eps12,eps23,eps13,theta12_deg,theta23_deg,theta13_deg,s12sq,s23sq,s13sq
245.0,M_free23+free13,0.175000000034149,3,-0.04938804838176093,-0.062489035338710204,0.0017616731063235362,33.522750298949504,42.187993409758036,8.588208007961102,0.3049999999943093,0.45099999999999996,0.022300000000000004
246.0,M_free23+free13,0.19800000038816093,3,-0.049388048382605326,-0.06248903533870984,0.0017616730998803178,33.522750298919725,42.18799340975805,8.588208007905866,0.3049999999938307,0.45100000000000023,0.022299999999715298
248.0,M_free23+free13,0.244000000034149,3,-0.04938804838176104,-0.062489035338710225,0.0017616731063234514,33.522750298949504,42.187993409758036,8.588208007961102,0.3049999999943093,0.45099999999999996,0.022300000000000004
250.0,M_free23+free13,0.29000000042006024,3,-0.04938804838176096,-0.06248903533870972,0.0017616730992422239,33.522750298949504,42.18799340975805,8.588208007900395,0.3049999999943093,0.45100000000000023,0.022299999999687105
252.0,M_free23+free13,0.36800000003797395,3,-0.0493880483817174,-0.062489035338690296,0.0017616731064821912,33.52275029895104,42.18799340975893,8.588208007962464,0.30499999999433397,0.4510000000000156,0.022300000000007016
255.0,M_free23+free13,0.485000000420052,3,-0.04938804838176096,-0.06248903533871019,0.0017616730992422336,33.522750298949504,42.187993409758036,8.588208007900395,0.3049999999943093,0.45099999999999996,0.022299999999687105
256.0,M_free23+free13,0.524000000420052,3,-0.04938804838176095,-0.062489035338710176,0.0017616730992423158,33.522750298949504,42.187993409758036,8.588208007900395,0.3049999999943093,0.45099999999999996,0.022299999999687105
258.0,M_free23+free13,0.6020000004053458,3,-0.04938804838432043,-0.06248903532989858,0.001761673106323615,33.52275029885924,42.18799341015456,8.588208007961104,0.30499999999285876,0.4510000000068874,0.02230000000000001
260.0,M_free23+free13,0.6800000003336375,3,-0.04938804838177457,-0.062489035331431214,0.00176167310632333,33.52275029894902,42.18799341008559,8.5882080079611,0.30499999999430144,0.4510000000056894,0.022299999999999997
261.0,M_free23+free13,0.73400000025072,3,-0.049388048414942994,-0.06248903533870988,0.0017616731115399215,33.52275029777936,42.18799340975805,8.588208008005823,0.30499999997550353,0.45100000000000023,0.02230000000023051
264.0,M_free23+free13,0.8960000004200545,3,-0.049388048381761016,-0.06248903533871006,0.0017616730992422995,33.522750298949504,42.18799340975804,8.588208007900395,0.3049999999943093,0.4510000000000001,0.022299999999687105
265.0,M_free23+free13,0.9500000000341915,3,-0.04938804838175872,-0.062489035338709656,0.0017616731063251328,33.52275029894958,42.18799340975806,8.588208007961116,0.30499999999431054,0.4510000000000004,0.022300000000000077
270.0,M_free23+free13,1.2200000000341595,3,-0.04938804838176101,-0.06248903533871049,0.001761673106323461,33.522750298949504,42.18799340975802,8.588208007961102,0.3049999999943093,0.4509999999999998,0.022300000000000004
272.0,M_free23+free13,1.3540000004200519,3,-0.04938804838176094,-0.06248903533871014,0.0017616730992422193,33.522750298949504,42.187993409758036,8.588208007900395,0.3049999999943093,0.45099999999999996,0.022299999999687105
275.0,M_free23+free13,1.5550000004200533,3,-0.04938804838176125,-0.06248903533870995,0.001761673099242366,33.52275029894949,42.18799340975805,8.588208007900397,0.30499999999430905,0.45100000000000023,0.022299999999687112
276.0,M_free23+free13,1.6220000004200543,3,-0.04938804838176102,-0.06248903533871008,0.0017616730992422059,33.522750298949504,42.18799340975804,8.588208007900395,0.3049999999943093,0.4510000000000001,0.022299999999687105
279.0,M_free23+free13,1.8230000003920344,3,-0.04938804838548848,-0.06248903533031903,0.0017616731063228976,33.52275029881805,42.18799341013564,8.588208007961098,0.3049999999921967,0.4510000000065586,0.02229999999999998
280.0,M_free23+free13,1.8900000004200623,3,-0.04938804838176088,-0.06248903533871051,0.0017616730992421861,33.522750298949504,42.18799340975802,8.588208007900395,0.3049999999943093,0.4509999999999998,0.022299999999687105
282.0,M_free23+free13,2.048000000420054,3,-0.049388048381760724,-0.06248903533871049,0.0017616730992423726,33.52275029894951,42.18799340975802,8.588208007900397,0.3049999999943093,0.4509999999999998,0.022299999999687112
285.0,M_free23+free13,2.285000000390821,3,-0.049388048382045205,-0.06248903534599131,0.0017616731063228588,33.52275029893948,42.18799340943038,8.588208007961098,0.3049999999941482,0.45099999999430906,0.02229999999999998
288.0,M_free23+free13,2.522000000420117,3,-0.04938804838176173,-0.062489035338710454,0.0017616730992414235,33.52275029894948,42.18799340975803,8.588208007900388,0.3049999999943088,0.4509999999999998,0.022299999999687063
290.0,M_free23+free13,2.6800000004190294,3,-0.049388048381760884,-0.06248903533871014,0.0017616730992611248,33.522750298949504,42.187993409758036,8.588208007900556,0.3049999999943093,0.45099999999999996,0.022299999999687934
